datetime,open,high,low,close,volume
2011-09-01,8,8.31,5.25,8.22,164.48
2011-09-02,8.12,8.88,8,8.88,79.76
2011-09-04,8.89,8.89,8.89,8.89,0.20022497
2011-09-06,8,8,8,8,21
2011-09-07,8.5,8.5,8.5,8.5,3
2011-09-08,7.98,7.98,7.4,7.4,6.86
2011-09-13,5.8,6,5.65,5.97,58.37138238
2011-09-14,5.58,5.72,5.52,5.53,61.14598362
2011-09-15,5.12,5.24,5,5.13,80.1407952
2011-09-16,4.82,4.87,4.8,4.85,39.9140068
2011-09-17,4.87,4.87,4.87,4.87,0.3
2011-09-18,4.87,4.92,4.81,4.92,119.8128
2011-09-19,4.9,4.9,4.9,4.9,20
2011-09-20,4.92,5.66,4.92,5.66,89.28071068
2011-09-21,5.7,5.79,5.66,5.66,17.62932238
2011-09-22,5.68,5.72,5.68,5.72,43.77842238
2011-09-23,5.7,5.72,5.7,5.72,20.68003681
2011-09-24,5.7,5.76,5.68,5.68,90.58706633
2011-09-25,6.05,6.05,6.05,6.05,12.22
2011-09-26,6.06,6.06,4.8,4.8,39.57846334
2011-09-27,4.85,4.92,4.85,4.92,24.3545
2011-09-28,4.9,4.91,4.82,4.82,83.0533258
2011-09-29,4.81,4.82,4.81,4.82,46.9645
2011-10-03,4.85,4.87,4.83,4.87,30.57595
2011-10-04,4.86,5.3,4.8,4.98,142.5216224
2011-10-05,4.92,6.25,4.8,4.92,113.72
2011-10-06,4.88,4.99,4.8,4.8,170.8435494
2011-10-07,4.8,4.81,4.59,4.61,94.64
2011-10-08,4.57,4.57,3.99,3.99,56
2011-10-09,3.89,3.89,3.89,3.89,11
2011-10-10,3.99,4.51,3.99,4.51,132.5
2011-10-11,3.98,4.1,3.98,4.1,78.08
2011-10-12,3.95,3.99,3.93,3.93,79.523525
2011-10-13,3.93,3.97,3.93,3.97,109.621766
2011-10-14,4.05,4.05,4.05,4.05,96.97751266
2011-10-17,3.92,3.92,3.92,3.92,10.24
2011-10-20,2.22,2.29,2.22,2.24,61.972332
2011-10-21,2.22,2.27,2.22,2.27,41.46334066
2011-10-24,2.99,2.99,2.92,2.92,64.54
2011-10-25,2.66,2.72,2.66,2.72,130.2993237
2011-10-26,2.72,3,2.67,2.69,268.2689727
2011-10-28,3.07,4.36,3.07,4.2,118.3778727
2011-10-29,3.69,4.4,3.69,3.95,88.432425
2011-10-30,3.85,3.85,3.2,3.5,116.381395
2011-10-31,3.25,3.55,3.2,3.3,68.99404308
2011-11-01,3.32,3.33,3.32,3.33,38.7771206
2011-11-04,3.27,3.55,3.21,3.55,117.0810387
2011-11-05,3.21,3.21,3,3,103.512
2011-11-06,2.95,2.95,2.95,2.95,203.388
2011-11-08,3.08,3.08,3.08,3.08,47.47212389
2011-11-09,3.09,3.3,3.09,3.3,58.86052015
2011-11-10,3.25,3.3,2.95,3.3,121.6677731
2011-11-11,3.3,3.3,3.3,3.3,65.434
2011-11-12,3.35,3.35,3.35,3.35,2.79
2011-11-13,3.35,3.35,3.35,3.35,29.48955224
2011-11-14,2.95,2.95,2.47,2.47,183.4
2011-11-15,2.99,3,2.5,2.5,97.3416118
2011-11-16,2.51,3,2.51,3,5.61666667
2011-11-17,3,3,2.5,2.99,17.01862876
2011-11-18,2.5,2.79,2.5,2.5,88.44
2011-11-19,2.5,2.5,2.43,2.43,48.87212355
2011-11-20,2.37,2.37,2.37,2.37,11
2011-11-21,2.45,3,2.25,2.25,290.5267758
2011-11-22,2.53,2.59,2.46,2.59,328.493346
2011-11-24,2.54,3,2.54,3,9.1446088
2011-11-25,2.5,15,2.5,2.75,179.787266
2011-11-26,2.77,2.77,2.77,2.77,10.09025271
2011-11-28,2.67,2.78,2.66,2.66,180.367149
2011-11-29,2.69,3.23,2.69,2.72,62.46464882
2011-11-30,3.19,3.19,3.19,3.19,14.53918495
2011-12-01,3.46,3.48,3.3,3.42,233.7800335
2011-12-02,3.45,3.45,3.04,3.04,131.7570402
2011-12-03,2.93,2.93,2.93,2.93,0.5
2011-12-05,2.82,2.99,2.82,2.93,207.3632656
2011-12-06,2.9,3.25,2.89,2.98,216.109289
2011-12-07,3.05,3.35,3.05,3.3,233.2092002
2011-12-08,3.27,3.5,2.95,3.3,115.7177271
