datetime,symbol,open,high,low,close,volume
2013-09-14,BITSTAMP:BTCUSD,127.71,128,123.05,124.49,8711.863836
2013-09-15,BITSTAMP:BTCUSD,124.49,126.25,123,125.36,5360.88243
2013-09-16,BITSTAMP:BTCUSD,125.36,126.71,124.03,126.27,7602.347852
2013-09-17,BITSTAMP:BTCUSD,126.28,127.69,125.47,126.92,8852.613572
2013-09-18,BITSTAMP:BTCUSD,126.92,128,124.2,127,13495.71105
2013-09-19,BITSTAMP:BTCUSD,127,127.95,123.02,124.18,10236.24814
2013-09-20,BITSTAMP:BTCUSD,124.17,126.02,121.16,122.91,10505.08009
2013-09-21,BITSTAMP:BTCUSD,122.92,124.1,121.7,123.39,4154.192024
2013-09-22,BITSTAMP:BTCUSD,123.38,123.5,122.35,123.27,2882.091302
2013-09-23,BITSTAMP:BTCUSD,123.27,123.99,121.54,122.63,7736.933958
2013-09-24,BITSTAMP:BTCUSD,122.81,124.01,121.77,123.86,10183.16714
2013-09-25,BITSTAMP:BTCUSD,123.75,125,123.23,123.25,8053.184401
2013-09-26,BITSTAMP:BTCUSD,123.32,124.9,123,124.84,7784.843209
2013-09-27,BITSTAMP:BTCUSD,124.85,126.96,124.35,126.95,12117.32342
2013-09-28,BITSTAMP:BTCUSD,126.95,127,124.01,126.54,6320.258364
2013-09-29,BITSTAMP:BTCUSD,126.5,128.8,126.08,127.01,6745.394505
2013-09-30,BITSTAMP:BTCUSD,127,127.53,122.77,126.25,11530.52472
2013-10-01,BITSTAMP:BTCUSD,126.25,127.93,125.54,127.33,7513.834961
2013-10-02,BITSTAMP:BTCUSD,127.31,127.8,85,103.85,60639.38899
2013-10-03,BITSTAMP:BTCUSD,103.85,118.79,102,117.63,26112.76387
2013-10-04,BITSTAMP:BTCUSD,117.62,122.98,116.48,121.94,13194.57595
2013-10-05,BITSTAMP:BTCUSD,121.94,122.29,121.11,121.2,2942.636011
2013-10-06,BITSTAMP:BTCUSD,121.25,122.49,121.13,122.49,3926.341319
2013-10-07,BITSTAMP:BTCUSD,122.49,124.49,120.11,123.5,11885.1346
2013-10-08,BITSTAMP:BTCUSD,123.5,125.17,122.17,124.13,13183.37385
2013-10-09,BITSTAMP:BTCUSD,124.5,127.99,122.3,125.9,18933.76126
