Date,Open,High,Low,Close,Volume
2020-01-02,7200.77,7212.5,7185.46,7211.02,391.352377
2020-01-03,6965.49,6966.47,6912.88,6937.0,1106.732043
2020-01-04,7345.0,7350.0,7289.98,7302.24,1240.406484
2020-01-05,7354.19,7393.0,7354.11,7373.48,1432.35544
2020-01-06,7357.64,7384.72,7346.76,7378.75,1358.867787
2020-01-07,7758.9,8000.0,7758.29,7888.42,12714.830706
2020-01-08,8145.92,8455.0,8142.0,8431.82,12579.628057
2020-01-09,8054.72,8055.96,7928.0,7956.55,3517.43095
2020-01-10,7817.74,7854.06,7811.05,7820.01,1276.755793
2020-01-11,8198.86,8200.0,8119.75,8168.92,2971.522168
2020-01-12,8020.01,8080.0,7960.0,8060.89,4003.350255
2020-01-13,8184.97,8196.0,8142.11,8152.73,1532.148674
2020-01-14,8110.34,8315.0,8105.54,8270.0,5835.200149
2020-01-15,8814.64,8900.0,8701.0,8772.86,8982.362583
2020-01-16,8820.01,8859.81,8712.27,8761.02,3227.650513
2020-01-17,8720.15,8743.99,8672.44,8690.31,1988.852577
2020-01-18,8913.27,8987.9,8855.55,8978.96,2518.911083
2020-01-19,8915.09,8979.59,8888.02,8972.78,2285.07957
2020-01-20,8701.72,8735.84,8640.49,8665.21,2544.193079
2020-01-21,8642.35,8664.86,8618.0,8644.52,1420.167451
2020-01-22,8736.04,8758.08,8722.36,8739.0,1020.100874
2020-01-23,8682.77,8691.81,8640.0,8662.58,872.925775
2020-01-24,8404.52,8419.86,8386.83,8409.0,955.211286
2020-01-25,8438.99,8451.26,8305.0,8309.5,2787.639922
2020-01-26,8340.01,8341.78,8293.66,8325.95,1412.919076
2020-01-27,8614.39,8704.0,8614.39,8667.29,4131.056624
2020-01-28,8907.57,9093.8,8907.56,9069.31,3854.603762
2020-01-29,9375.34,9420.82,9316.0,9331.15,4543.980022
2020-01-30,9301.57,9333.97,9204.44,9278.29,3751.8216
2020-01-31,9511.52,9530.22,9472.86,9473.87,1168.793205
2020-02-01,9351.71,9394.08,9341.17,9383.07,848.817197
2020-02-02,9384.41,9387.03,9320.0,9328.49,1283.647807
2020-02-03,9331.59,9420.26,9288.0,9411.09,3413.809771
2020-02-04,9291.35,9350.0,9290.63,9330.09,1695.544006
2020-02-05,9197.02,9240.0,9185.0,9224.65,2172.542604
2020-02-06,9612.03,9635.11,9526.35,9550.59,2695.503267
2020-02-07,9772.0,9824.48,9752.65,9791.15,2069.663687
2020-02-08,9813.87,9830.06,9769.81,9790.0,1528.187677
2020-02-09,9895.04,9947.5,9880.75,9936.95,1430.944116
2020-02-10,10151.72,10188.0,10150.0,10184.19,1767.194315
2020-02-11,9851.74,9862.18,9771.86,9779.69,2118.357823
2020-02-12,10223.08,10320.0,10223.08,10318.97,3266.870887
2020-02-13,10325.33,10381.99,10310.51,10366.62,1550.885797
2020-02-14,10227.78,10242.79,10178.27,10224.81,1699.634637
