Date,Open,High,Low,Close,Volume
2019-01-01,3701.23,3713.0,3689.88,3700.31,686.36742
2019-01-02,3796.45,3810.0,3763.75,3778.02,2094.025159
2019-01-03,3857.57,3862.74,3828.7,3830.78,1754.761595
2019-01-04,3767.2,3767.21,3730.0,3750.3,1249.546728
2019-01-05,3790.09,3838.7,3788.97,3811.76,2440.690197
2019-01-06,3771.12,3792.12,3761.6,3786.76,964.564428
2019-01-07,3987.62,4017.9,3986.41,4008.05,1506.176402
2019-01-08,3976.76,3989.0,3973.79,3981.12,930.173886
2019-01-09,3955.45,3970.47,3930.04,3955.73,1725.742603
2019-01-10,3966.06,3989.81,3963.7,3987.66,877.788054
2019-01-11,3585.88,3617.04,3557.52,3607.72,2396.186279
2019-01-12,3601.31,3618.19,3588.01,3601.46,1929.34205
2019-01-13,3584.1,3587.01,3566.19,3570.47,885.225956
2019-01-14,3477.56,3483.07,3467.02,3483.05,707.905444
2019-01-15,3626.08,3643.27,3624.22,3633.22,886.705047
2019-01-16,3553.06,3565.47,3543.51,3561.05,1070.838554
2019-01-17,3591.84,3597.29,3582.08,3587.73,968.626011
2019-01-18,3613.32,3620.0,3601.64,3607.42,636.158723
2019-01-19,3594.87,3610.0,3594.23,3597.85,633.784846
2019-01-20,3665.75,3673.86,3655.0,3673.86,724.873105
2019-01-21,3539.26,3549.07,3537.94,3539.0,700.116019
2019-01-22,3526.88,3537.87,3523.0,3534.39,846.67851
2019-01-23,3570.41,3580.86,3566.24,3574.99,502.325931
2019-01-24,3552.97,3555.0,3542.0,3551.51,547.439252
2019-01-25,3569.07,3574.3,3566.03,3569.83,453.303136
2019-01-26,3566.69,3571.64,3561.73,3562.68,417.695486
2019-01-27,3565.62,3574.51,3539.16,3570.0,1131.712098
2019-01-28,3550.05,3557.75,3540.01,3548.12,796.71727
2019-01-29,3434.0,3443.45,3433.0,3436.54,885.102362
2019-01-30,3410.04,3411.85,3387.1,3394.75,1099.217135
2019-01-31,3457.5,3489.2,3456.75,3480.71,1148.326231
2019-02-01,3434.1,3440.15,3425.0,3430.74,1230.459697
2019-02-02,3462.2,3470.45,3460.43,3460.88,794.084066
2019-02-03,3504.06,3511.09,3482.0,3494.7,1432.44861
2019-02-04,3458.11,3471.84,3455.0,3462.51,849.644064
2019-02-05,3463.22,3465.0,3455.69,3463.77,700.019542
2019-02-06,3471.57,3482.72,3451.1,3458.95,1510.6903
2019-02-07,3407.0,3407.01,3398.02,3402.95,826.480439
