Date,Open,High,Low,Close,Volume
2022-01-02,47722.66,47750.0,47381.12,47625.3,1082.50817
2022-01-03,47286.18,47289.11,47050.0,47050.08,734.11794
2022-01-04,46446.1,46549.19,46150.0,46244.37,1055.75335
2022-01-05,45832.01,46298.56,45722.21,46271.57,1006.79621
2022-01-06,43451.14,43772.41,43261.62,43680.94,2221.24911
2022-01-07,43082.3,43145.83,42738.0,42788.15,1388.76561
2022-01-08,41566.48,42115.2,41558.0,41991.89,1244.69199
2022-01-09,41679.74,41831.25,41388.13,41773.24,1485.82226
2022-01-10,41864.62,42037.05,41623.67,41655.18,1083.2151
2022-01-11,41822.49,41878.78,41583.43,41593.7,869.73683
2022-01-12,42729.29,42965.0,42578.02,42675.0,1004.90689
2022-01-13,43902.65,44075.42,43670.0,43720.0,1234.16915
2022-01-14,42558.35,42784.0,42362.91,42750.66,1160.43813
2022-01-15,43059.96,43174.0,42907.0,43100.01,776.16721
2022-01-16,43084.29,43117.5,42990.83,43069.7,772.86732
2022-01-17,43071.66,43176.18,42871.65,42891.12,732.88601
2022-01-18,42201.63,42418.0,42129.97,42361.8,1131.74087
2022-01-19,42352.12,42482.51,42163.02,42252.73,895.72209
2022-01-20,41660.0,41860.55,41639.88,41828.24,725.50552
2022-01-21,40680.92,41100.0,40404.0,40894.8,3247.34628
2022-01-22,36445.31,36835.22,36136.66,36487.96,2851.78214
2022-01-23,35071.42,35479.11,34944.0,35401.1,1601.28654
2022-01-24,36244.55,36251.5,35744.18,35840.29,2840.75148
2022-01-25,36660.35,36691.87,36012.01,36037.58,2316.45521
2022-01-26,36958.32,37000.0,36560.16,36638.5,1135.86622
2022-01-27,36807.24,37080.0,36655.79,37004.43,2074.29018
2022-01-28,37160.11,37467.98,37046.15,37157.27,2204.86551
2022-01-29,37716.57,37983.41,37647.01,37788.27,1192.0404
2022-01-30,38166.83,38281.24,37737.49,37816.45,1184.00777
2022-01-31,37881.75,37951.07,36828.32,36829.3,2907.71096
2022-02-01,38466.9,38627.35,38276.43,38342.36,1058.42599
2022-02-02,38694.59,38855.92,38429.03,38557.27,1187.94325
2022-02-03,36896.37,37049.65,36763.4,36878.39,1812.53895
2022-02-04,37311.98,37343.77,37116.97,37180.53,1448.75667
2022-02-05,41571.7,41913.69,41342.98,41471.41,4759.06054
2022-02-06,41382.6,41526.22,41340.35,41478.68,495.10741
2022-02-07,42380.87,42500.0,41645.85,41830.55,2654.75283
2022-02-08,43839.99,43992.53,43555.72,43850.0,2234.79248
2022-02-09,44043.0,44341.88,43958.7,44243.99,1535.22505
2022-02-10,44372.71,44400.0,44030.1,44103.29,1611.55153
2022-02-11,43495.44,43559.45,42600.0,43040.01,4272.89598
2022-02-12,42373.73,42415.45,42221.38,42311.0,1040.25762
2022-02-13,42217.87,42508.47,42057.26,42390.82,893.68946
2022-02-14,42053.65,42180.04,41934.03,42113.12,926.07324
2022-02-15,42535.94,42668.43,42427.03,42576.18,875.53425
2022-02-16,44544.85,44549.97,44125.0,44195.77,1229.09601
2022-02-17,43873.56,44100.23,43822.28,44060.74,840.53758
2022-02-18,40515.71,40668.41,40300.0,40563.91,1769.28818
2022-02-19,39974.45,40243.51,39915.89,40201.59,1019.02185
2022-02-20,40079.17,40125.44,39876.01,39924.54,653.07079
2022-02-21,38386.89,38749.95,38182.98,38741.34,1532.27626
2022-02-22,37008.16,37331.29,36810.0,37229.72,2715.27835
2022-02-23,38230.33,38354.56,38036.24,38137.91,1286.01634
2022-02-24,37250.02,37427.81,36700.3,36755.82,2587.50298
2022-02-25,38328.68,38795.6,38217.5,38226.27,1989.49169
