Date,Open,High,Low,Close,Volume
2023-01-02,16617.17,16629.05,16581.25,16588.35,4327.06948
2023-01-03,16672.78,16706.14,16647.81,16695.59,5684.61483
2023-01-04,16675.65,16677.15,16652.66,16660.53,4922.78018
2023-01-05,16850.36,16878.18,16827.24,16828.45,6623.10938
2023-01-06,16831.85,16872.57,16825.85,16859.78,6280.9838
2023-01-07,16950.31,16979.38,16930.46,16978.18,5467.28682
2023-01-08,16943.83,16955.0,16911.0,16926.66,6117.02466
2023-01-09,17127.83,17199.0,17104.66,17184.51,16663.49596
2023-01-10,17179.04,17220.29,17178.19,17219.19,7195.9706
2023-01-11,17440.64,17502.83,17428.37,17466.02,8526.37461
2023-01-12,17943.26,18297.37,17907.25,18264.1,29755.53326
2023-01-13,18846.62,18887.0,18714.12,18771.61,14571.89741
2023-01-14,19930.01,21258.0,19888.05,20891.67,66759.62394
2023-01-15,20952.76,21001.84,20623.21,20767.05,14735.14851
2023-01-16,20872.99,20999.25,20770.2,20966.58,10746.9633
2023-01-17,21185.65,21299.04,21064.56,21109.52,16464.46502
2023-01-18,21132.29,21242.55,21103.15,21202.97,9357.75343
2023-01-19,20677.47,20764.64,20660.15,20694.01,10490.32223
2023-01-20,21071.59,21121.42,21028.95,21054.74,9394.96625
2023-01-21,22666.0,22792.86,22422.0,22576.17,20472.4438
2023-01-22,22783.35,22979.88,22700.06,22877.48,12868.12927
2023-01-23,22706.02,22811.15,22660.67,22745.28,11526.99258
2023-01-24,22917.81,23009.79,22864.67,22986.44,11074.85309
2023-01-25,22631.94,22715.06,22498.0,22652.23,17892.84686
2023-01-26,23060.42,23282.47,23041.14,23240.42,16188.12884
2023-01-27,23009.65,23076.62,22897.02,22925.5,10025.55781
2023-01-28,23074.16,23189.0,23042.54,23151.84,8247.18867
2023-01-29,23021.4,23145.38,22967.76,23112.95,9049.12052
2023-01-30,23743.37,23800.51,23683.96,23751.43,10261.83669
2023-01-31,22827.38,22877.45,22714.77,22828.32,11523.71022
2023-02-01,23125.13,23168.9,22997.1,23085.73,12121.64019
2023-02-02,23731.41,24255.0,23690.02,24189.85,26407.16074
2023-02-03,23489.33,23585.04,23436.06,23552.89,12175.93159
2023-02-04,23431.9,23465.15,23382.01,23411.3,7788.02404
2023-02-05,23327.66,23371.99,23230.0,23291.0,9671.24209
2023-02-06,22932.91,23094.92,22918.61,23054.44,8422.82634
2023-02-07,22762.52,22826.03,22745.78,22795.13,8801.75203
2023-02-08,23242.42,23361.64,23228.83,23326.4,12408.87974
2023-02-09,22961.85,23011.39,22926.35,22980.64,9134.9064
2023-02-10,21797.83,21880.18,21756.0,21824.09,13868.09593
2023-02-11,21625.19,21691.63,21599.78,21657.62,10020.42535
2023-02-12,21862.02,21890.16,21803.0,21816.37,7118.92695
2023-02-13,21782.37,21876.43,21689.66,21811.28,12562.14811
2023-02-14,21774.63,21816.62,21729.74,21737.95,9646.12927
2023-02-15,22199.84,22200.88,22105.0,22149.74,10145.2916
2023-02-16,24322.87,24905.0,24278.58,24583.17,27499.73717
2023-02-17,23517.72,23778.22,23339.37,23713.37,31282.73281
2023-02-18,24568.24,24787.5,24533.54,24632.74,14048.10305
2023-02-19,24632.05,24764.85,24622.18,24739.25,7487.83417
2023-02-20,24272.51,24411.52,24141.3,24211.07,13777.41155
2023-02-21,24843.89,24940.0,24781.5,24858.6,9572.17147
2023-02-22,24450.67,24476.05,24264.27,24412.47,11361.56035
2023-02-23,24182.21,24246.06,24124.33,24129.22,10161.68644
2023-02-24,23940.2,24022.87,23890.0,23958.71,9447.10151
2023-02-25,23184.04,23203.93,23108.77,23165.61,7550.43072
2023-02-26,23157.07,23166.91,23080.09,23097.97,5757.9461
2023-02-27,23554.85,23567.69,23451.66,23492.64,7993.6986
2023-02-28,23492.09,23549.99,23409.79,23420.55,8213.50429
2023-03-01,23141.57,23219.99,23020.03,23101.0,12736.94918
2023-03-02,23629.76,23796.93,23595.11,23606.95,12203.50378
2023-03-03,23465.32,23476.95,23398.85,23418.5,5032.12995
2023-03-04,22354.34,22392.17,22330.01,22368.49,5359.40241
2023-03-05,22346.57,22389.32,22313.41,22379.25,5458.32443
2023-03-06,22430.24,22470.08,22361.43,22446.48,6995.2835
2023-03-07,22409.41,22428.0,22377.69,22415.92,6254.62047
2023-03-08,22198.56,22287.0,22190.32,22245.86,9321.72502
2023-03-09,21704.37,21765.15,21675.4,21719.42,10551.56996
2023-03-10,20362.21,20367.78,20022.0,20120.27,31664.01722
2023-03-11,20150.69,20301.79,20135.05,20216.03,22331.05908
2023-03-12,20455.73,20502.46,20342.69,20453.41,17296.3167
2023-03-13,21998.05,22600.0,21860.74,22446.02,46825.16252
2023-03-14,24112.27,24249.8,23986.02,24166.31,20419.04669
2023-03-15,24670.41,24742.29,24284.6,24720.06,25683.67851
2023-03-16,24285.66,24384.12,24144.87,24202.64,16691.21973
2023-03-17,24998.78,25002.61,24890.0,24918.14,10867.65841
2023-03-18,27395.13,27652.61,27060.0,27627.51,28691.34464
2023-03-19,26907.49,27125.94,26901.02,27077.54,13336.76728
2023-03-20,27972.87,28057.44,27779.65,27825.47,16809.29216
2023-03-21,27717.01,27953.33,27664.51,27850.21,15105.73382
2023-03-22,28107.81,28117.25,27945.44,28028.91,14331.12351
2023-03-23,27250.97,27428.69,27195.63,27322.28,4717.70531
2023-03-24,28295.42,28374.3,28182.02,28195.3,2887.21044
2023-03-25,27454.46,27586.0,27425.19,27556.35,2102.7941
2023-03-26,27462.96,27630.32,27417.76,27531.28,1997.79617
2023-03-27,27968.05,28023.86,27917.16,27994.28,1929.36281
2023-03-28,27124.9,27160.0,26936.0,26960.92,3533.32954
2023-03-29,27261.06,27340.0,27240.1,27268.73,1699.06156
2023-03-30,28348.6,28457.48,28235.25,28328.47,2063.78277
2023-03-31,28028.53,28338.34,27916.34,28249.17,4149.4121
2023-04-01,28465.36,28547.2,28408.57,28438.27,1524.81719
2023-04-02,28452.74,28499.99,28355.0,28366.3,914.79254
2023-04-03,28171.87,28182.17,28064.52,28114.62,1119.79625
2023-04-04,27800.0,27868.31,27662.79,27760.58,2374.60259
2023-04-05,28165.47,28733.0,28099.68,28661.81,6158.2642
2023-04-06,28170.01,28182.05,27918.35,27999.15,2192.36011
2023-04-07,28033.83,28100.0,27998.04,28097.99,896.12527
2023-04-08,27906.34,27919.61,27859.02,27880.27,899.14307
2023-04-09,27938.38,28075.0,27924.9,28036.76,1092.06788
2023-04-10,28323.76,28425.43,28285.61,28381.25,1741.16374
2023-04-11,29637.35,29990.0,29590.0,29928.86,5294.26591
2023-04-12,30200.43,30350.07,30193.67,30224.78,1803.85075
2023-04-13,29888.07,30035.28,29854.59,29984.69,1441.58145
2023-04-14,30373.84,30799.61,30310.03,30745.73,6387.55449
2023-04-15,30466.93,30595.6,30372.48,30372.48,2000.69786
2023-04-16,30295.1,30319.04,30270.11,30277.54,603.52064
