Date,Open,High,Low,Close,Volume
2021-01-02,29331.7,29338.59,28946.53,29197.48,2638.159379
2021-01-03,32176.45,32497.8,31962.99,32447.94,3346.062141
2021-01-04,33000.05,33111.44,32400.25,32843.88,4792.206831
2021-01-05,31989.75,32853.38,31989.74,32430.49,7707.64341
2021-01-06,33949.53,34107.59,33288.0,33918.01,6106.351924
2021-01-07,36769.36,37287.63,36422.71,37150.66,6259.578978
2021-01-08,39432.48,39699.87,38793.23,38793.23,3387.174889
2021-01-09,40586.96,40976.13,39980.27,40283.56,4382.254983
2021-01-10,40088.22,40736.76,40087.15,40581.48,2697.151944
2021-01-11,38150.02,38264.74,36501.0,37192.1,7568.894487
2021-01-12,35410.37,35547.19,34287.34,34929.98,6612.036381
2021-01-13,34049.15,34049.15,32380.0,32526.5,9275.279349
2021-01-14,37371.38,38172.22,37362.49,37762.76,5781.272257
2021-01-15,39145.21,39747.76,39023.24,39452.89,3774.330608
2021-01-16,36737.43,37428.05,36724.17,37159.51,4169.146802
2021-01-17,35994.98,36472.72,35520.0,36396.42,3726.445506
2021-01-18,35824.99,36016.7,35551.81,35964.2,3323.901139
2021-01-19,36622.46,36916.66,36364.43,36676.89,2733.810333
2021-01-20,35901.94,36350.0,35610.17,36314.04,3376.908018
2021-01-21,35468.23,35600.0,35077.35,35293.21,2017.772003
2021-01-22,30851.99,30863.98,29223.03,29528.31,16556.096185
2021-01-23,32950.0,32974.89,32400.0,32702.18,3359.612554
2021-01-24,32078.0,32086.75,31630.0,31876.35,2459.159672
2021-01-25,32259.45,32831.07,32175.61,32574.71,4492.345342
2021-01-26,32254.19,32793.01,31758.0,32474.33,3799.041198
2021-01-27,32464.01,32557.29,31880.0,32335.7,3512.77489
2021-01-28,30362.19,30728.57,29842.1,30671.86,3868.316546
2021-01-29,33368.18,34310.0,33330.93,34150.23,10164.387947
2021-01-30,34246.28,34861.56,34214.91,34250.1,4446.39087
2021-01-31,34262.89,34342.69,33850.0,34066.84,2644.824549
2021-02-01,33092.97,33106.33,32296.16,32546.27,4383.926122
2021-02-02,33517.09,34161.39,33418.0,33763.07,3418.178933
2021-02-03,35472.71,36240.0,35362.38,36135.01,4260.425106
2021-02-04,37620.26,38128.0,37615.93,38063.15,4961.192599
2021-02-05,36936.65,37227.22,36795.72,36993.25,2538.982425
2021-02-06,38289.32,38879.0,38215.94,38740.92,5397.483552
2021-02-07,39181.01,39611.04,38701.0,39564.17,4552.184099
2021-02-08,38795.69,39130.0,38650.76,38725.4,3030.91878
2021-02-09,46374.86,47498.0,46233.95,46768.22,10775.231095
2021-02-10,46420.42,46900.0,46052.52,46517.64,3108.224942
2021-02-11,44807.58,45051.27,43994.02,44250.0,4145.400343
2021-02-12,47968.66,48985.8,47770.58,47990.0,6786.707649
2021-02-13,47298.15,47587.29,47200.0,47459.54,2749.958429
2021-02-14,47156.78,47695.18,47014.17,47594.52,3370.181722
2021-02-15,48580.47,49010.92,48428.0,48763.62,2016.443495
2021-02-16,47911.1,47958.4,47003.62,47669.02,4446.88263
2021-02-17,49133.45,49566.66,49034.35,49079.99,2890.370858
2021-02-18,52117.67,52530.0,52104.69,52267.32,2415.711881
2021-02-19,51552.61,51943.99,51452.0,51511.33,2713.994591
2021-02-20,55906.0,56500.0,55322.0,56226.73,5639.852063
2021-02-21,55841.19,56061.64,55477.59,55834.95,2949.777561
2021-02-22,57412.35,57508.47,56230.84,56235.15,4513.740342
2021-02-23,54087.67,54183.59,53018.54,53440.66,2943.368965
2021-02-24,48891.0,49100.0,46988.69,48456.58,4847.530736
2021-02-25,49676.21,50865.0,49517.01,50507.25,3530.403462
2021-02-26,47073.73,47613.5,46000.0,46801.05,8103.393177
2021-02-27,46276.88,47568.18,46156.24,47525.07,3534.299991
2021-02-28,46103.67,46638.46,45588.11,46345.94,3169.797146
2021-03-01,45134.11,46571.3,44950.53,46217.19,4899.574833
2021-03-02,49595.76,50200.0,49278.94,49354.62,4346.814024
2021-03-03,48436.61,48745.13,48100.71,48507.96,2531.591234
2021-03-04,50349.37,51147.05,49850.81,50894.48,3929.680636
2021-03-05,48374.09,48376.2,46512.9,46829.84,6980.751374
2021-03-06,48746.81,49156.0,48675.67,48808.05,1845.193392
2021-03-07,48882.2,49312.0,48882.2,49203.25,2100.259456
2021-03-08,50959.11,51685.0,50843.59,51491.1,3257.854652
2021-03-09,52375.18,52540.48,51789.41,52020.23,3791.402835
2021-03-10,54874.67,55763.0,54782.93,55510.0,5030.931259
2021-03-11,55851.59,56499.98,55505.0,55601.55,3761.550649
2021-03-12,57773.15,58081.51,56777.77,57362.04,4018.339418
2021-03-13,57221.72,57307.2,56312.91,56689.35,2913.361726
2021-03-14,61188.38,61724.79,60900.0,61260.48,2902.157561
2021-03-15,58976.08,59917.78,58705.47,59404.48,4470.863099
2021-03-16,55605.2,56140.55,53960.11,54088.76,7957.153587
2021-03-17,56900.74,57189.43,56258.77,56518.57,3017.411795
2021-03-18,58912.97,59561.54,58709.03,58927.54,4549.118018
2021-03-19,57641.0,57689.65,56270.74,56880.0,4455.451875
2021-03-20,58030.01,58677.52,57820.17,58639.33,2400.214781
2021-03-21,58100.02,58589.1,57811.41,58331.43,2342.929801
2021-03-22,57351.56,57449.47,56420.0,56590.76,2801.926267
2021-03-23,54083.25,54760.0,53777.68,54697.73,3111.382982
2021-03-24,54342.8,54669.35,53596.32,53688.07,2878.754265
2021-03-25,52303.66,52900.0,52000.0,52626.91,3818.550957
2021-03-26,51293.78,52258.47,51214.6,52083.14,3107.222289
2021-03-27,55025.59,55555.0,54716.31,54745.38,3813.287491
2021-03-28,55817.14,56200.0,55572.0,56020.28,2235.455
2021-03-29,55777.65,56013.76,55290.0,55409.67,2071.045479
2021-03-30,57635.46,57769.01,57405.23,57520.41,1518.865216
2021-03-31,58746.57,59015.0,58631.65,58991.52,1856.658978
2021-04-01,58739.46,59240.07,58720.82,59221.95,1834.685608
2021-04-02,58720.45,58885.93,58455.1,58648.62,1936.788412
2021-04-03,58950.01,59450.08,58931.3,59387.13,1706.898053
2021-04-04,57051.95,57269.92,56507.91,56600.0,3651.491736
2021-04-05,58202.01,58387.35,57890.97,57908.13,2110.945386
2021-04-06,59129.99,59479.0,59043.47,59356.23,3279.189201
2021-04-07,57990.03,58200.01,57500.53,57639.29,2427.973637
2021-04-08,55953.44,56520.0,55700.0,56429.2,2093.488934
2021-04-09,58077.52,58389.0,58032.01,58301.72,1654.31328
2021-04-10,58142.55,58327.9,57900.01,58109.08,1547.050745
2021-04-11,59769.13,60429.56,59544.94,60148.5,3267.635378
2021-04-12,59998.8,60355.0,59605.0,59830.28,1825.011152
2021-04-13,59860.01,60473.0,59805.15,60452.35,2540.404587
2021-04-14,63575.01,63869.99,63208.97,63315.03,2542.54651
2021-04-15,62959.53,63491.45,62705.0,62705.01,2533.740053
2021-04-16,63158.74,63520.61,63035.71,63360.0,3006.827351
2021-04-17,61334.81,61740.04,61114.14,61439.99,2750.437848
2021-04-18,60006.67,60499.0,59312.07,59386.59,3718.924307
2021-04-19,56150.01,56841.89,55690.62,56771.94,3197.231432
2021-04-20,55633.14,55792.15,54328.78,54631.29,5959.820842
2021-04-21,56425.0,56757.91,55582.08,55679.99,3033.111594
2021-04-22,53787.62,54275.48,53200.0,54070.0,4850.994594
2021-04-23,51690.95,52131.85,51280.52,51524.09,5265.798449
2021-04-24,51110.56,51166.22,49560.0,49864.95,4070.249784
2021-04-25,50047.84,50302.15,49716.41,49821.69,2241.495604
2021-04-26,49066.76,50989.0,48753.44,50900.0,6885.231102
2021-04-27,54001.38,54160.61,53519.0,53657.36,2201.196344
2021-04-28,55011.97,55466.31,54967.38,55384.61,2648.205343
2021-04-29,54846.23,55195.84,54673.96,54720.07,1873.43885
2021-04-30,53555.0,53816.36,53013.01,53386.46,2623.12036
2021-05-01,57697.25,58088.0,57421.05,57811.42,3480.449516
2021-05-02,57797.35,57911.02,57371.12,57442.25,1595.863683
2021-05-03,56578.21,57600.0,56525.0,57407.86,2646.729041
2021-05-04,57169.39,57200.0,54580.0,55291.71,6665.084646
2021-05-05,53205.05,54886.69,52900.0,54566.58,4712.583978
2021-05-06,57436.11,57570.0,56570.66,56959.92,3698.102484
2021-05-07,56393.68,57122.17,56028.46,56376.29,3672.245823
2021-05-08,57315.49,57761.78,56900.0,57700.78,2546.939726
